model,details,target,x_cols,y_norm,x_norm,epochs,split,mse,mae,r2,dist_avg,dist_r2,sqdist_avg,sqdist_r2
fastTab1.2,x=restrict y_norm=True x_norm=True epochs=40 ,center,restrict,True,True,40,train,0.0023262188769876957,0.032000236213207245,0.5265462467701953,0.054634351283311844,0.4728586673736572,0.004652436822652817,0.6404196619987488
fastTab1.2,x=pts y_norm=True x_norm=True epochs=40 ,topleft,pts,True,True,40,valid,0.000295347097562626,0.01178144570440054,0.9921464265699211,0.019661739468574524,0.9175212904810905,0.0005906942533329129,0.9923753505572677
fastTab1.2,x=pts y_norm=True x_norm=True epochs=40 ,topleft,pts,True,True,40,train,0.00015129675739444792,0.00873899832367897,0.9956602165780621,0.014406390488147736,0.9372081160545349,0.00030259363120421767,0.9958262117579579
fastTab1.2,x=pts y_norm=True x_norm=True epochs=40 ,center,pts,True,True,40,valid,0.00013956529437564313,0.008748523890972137,0.97180363170851,0.014442472718656063,0.8627570867538452,0.0002791306178551167,0.9796626642346382
fastTab1.2,x=pts y_norm=True x_norm=True epochs=40 ,center,pts,True,True,40,train,5.726594463340007e-05,0.005867354571819305,0.9889302881642815,0.009424126707017422,0.9087136536836624,0.00011453189654275775,0.9910844378173351
fastTab1.2,x=all y_norm=True x_norm=True epochs=40 ,topleft,all,True,True,40,valid,1.5251980218201748e+20,1495760640.0,-1.6875212038729556e+22,2395607040.0,-10613985279.0,3.050395691796629e+20,-4.460256421606729e+21
fastTab1.2,x=all y_norm=True x_norm=True epochs=40 ,topleft,all,True,True,40,train,0.0010840978939086199,0.014468440786004066,0.9715088196749524,0.024117810651659966,0.8962855637073517,0.0021681953221559525,0.9709743950515985
fastTab1.2,x=all y_norm=True x_norm=True epochs=40 ,center,all,True,True,40,valid,6.349479539290145e+19,569223488.0,-8.118708847177244e+21,1053129024.0,-10778209279.0,1.2698959958189592e+20,-1.074518338693954e+22
fastTab1.2,x=all y_norm=True x_norm=True epochs=40 ,center,all,True,True,40,train,0.00036195709253661335,0.007558346260339022,0.9414081465395849,0.011973213404417038,0.8862371444702148,0.0007239143014885485,0.9457302540540695
fastTab1.2,x=restrict y_norm=True x_norm=False epochs=40 ,topleft,restrict,True,False,40,valid,0.00037465195055119693,0.012302501127123833,0.9928596585402045,0.021495899185538292,0.9066722393035889,0.000749303784687072,0.9900936624035239
fastTab1.2,x=restrict y_norm=True x_norm=False epochs=40 ,topleft,restrict,True,False,40,train,0.0003311755135655403,0.011769061908125877,0.9929508594260661,0.020438669249415398,0.911711186170578,0.0006623511435464025,0.9909302555024624
fastTab1.2,x=restrict y_norm=True x_norm=False epochs=40 ,center,restrict,True,False,40,valid,0.002370533300563693,0.03185981884598732,0.48068408474431923,0.05552172660827637,0.45184510946273804,0.0047410656698048115,0.6144580841064453
fastTab1.2,x=restrict y_norm=True x_norm=False epochs=40 ,center,restrict,True,False,40,train,0.0021782303228974342,0.03052099421620369,0.5578984338242694,0.05298589915037155,0.4921830892562866,0.0043564606457948685,0.6704646944999695
fastTab1.2,x=pts y_norm=True x_norm=False epochs=40 ,topleft,pts,True,False,40,valid,0.0002950338239315897,0.012376591563224792,0.9927218028769631,0.020423589274287224,0.9202869608998299,0.0005900675314478576,0.9937191265635192
fastTab1.2,x=pts y_norm=True x_norm=False epochs=40 ,topleft,pts,True,False,40,train,0.0001748094946378842,0.009146003983914852,0.9959192732855553,0.01554290670901537,0.9310076758265495,0.00034961907658725977,0.9949013106524944
fastTab1.2,x=pts y_norm=True x_norm=False epochs=40 ,center,pts,True,False,40,valid,0.00015315954806283116,0.008350924588739872,0.969065585323607,0.013685592450201511,0.8704235404729843,0.0003063190961256623,0.977099385112524
fastTab1.2,x=pts y_norm=True x_norm=False epochs=40 ,center,pts,True,False,40,train,5.027227598475292e-05,0.005245162174105644,0.990457234484158,0.008404001593589783,0.9186875149607658,0.00010054455196950585,0.9922426412813365
fastTab1.2,x=all y_norm=True x_norm=False epochs=40 ,topleft,all,True,False,40,valid,3475.992431640625,5.596080303192139,-62385.671242589284,9.523679733276367,-38.81271743774414,6951.98486328125,-88031.25
fastTab1.2,x=all y_norm=True x_norm=False epochs=40 ,topleft,all,True,False,40,train,0.0011676863068714738,0.015748264268040657,0.9484385752431235,0.026068449020385742,0.8862594664096832,0.002335372380912304,0.9676128178834915
fastTab1.2,x=all y_norm=True x_norm=False epochs=40 ,center,all,True,False,40,valid,1011929.875,145.114501953125,-118405872.91531475,245.4375762939453,-2246.85791015625,2023859.75,-138346863.0
fastTab1.2,x=all y_norm=True x_norm=False epochs=40 ,center,all,True,False,40,train,0.00048398866783827543,0.008146453648805618,0.9191085655416188,0.012827984988689423,0.8747994750738144,0.0009679771028459072,0.9233095422387123
fastTab1.2,x=restrict y_norm=False x_norm=True epochs=40 ,topleft,restrict,False,True,40,valid,0.0014378336491063237,0.028735266998410225,0.8963320132031849,0.04409676045179367,0.8141816556453705,0.0028756677638739347,0.9621585123240948
